Old_province,New_province
Hà Nội,Hà Nội
Huế,Huế
Lai Châu,Lai Châu
Điện Biên,Điện Biên
Sơn La,Sơn La
Lạng Sơn,Lạng Sơn
Quảng Ninh,Quảng Ninh
Thanh Hoá,Thanh Hoá
Nghệ An,Nghệ An
Hà Tĩnh,Hà Tĩnh
Cao Bằng,Cao Bằng
Tuyên Quang,Tuyên Quang
Hà Giang,Tuyên Quang
Lào Cai,Lào Cai
Yên Bái,Lào Cai
Bắc Kạn,Thái Nguyên
Thái Nguyên,Thái Nguyên
Vĩnh Phúc,Phú Thọ
Phú Thọ,Phú Thọ
Hoà Bình,Phú Thọ
Bắc Ninh,Bắc Ninh
Bắc Giang,Bắc Ninh
Hưng Yên,Hưng Yên
Thái Bình,Hưng Yên
Hải Dương,Hải Phòng
Hải Phòng,Hải Phòng
Hà Nam,Ninh Bình
Ninh Bình,Ninh Bình
Nam Định,Ninh Bình
Quảng Bình,Quảng Trị
Quảng Trị,Quảng Trị
Quảng Nam,Đà Nẵng
Đà Nẵng,Đà Nẵng
Kon Tum,Quảng Ngãi
Quảng Ngãi,Quảng Ngãi
Gia Lai,Gia Lai
Bình Định,Gia Lai
Ninh Thuận,Khánh Hoà
Khánh Hoà,Khánh Hoà
Lâm Đồng,Lâm Đồng
Đắk Nông,Lâm Đồng
Bình Thuận,Lâm Đồng
Đắk Lắk,Đắk Lắk
Phú Yên,Đắk Lắk
Bà Rịa - Vũng Tàu,Hồ Chí Minh
Bình Dương,Hồ Chí Minh
Thành phố Hồ Chí Minh,Hồ Chí Minh
Đồng Nai,Đồng Nai
Bình Phước,Đồng Nai
Tây Ninh,Tây Ninh
Long An,Tây Ninh
Cần Thơ,Cần Thơ
Sóc Trăng,Cần Thơ
Hậu Giang,Cần Thơ
Bến Tre,Vĩnh Long
Vĩnh Long,Vĩnh Long
Trà Vinh,Vĩnh Long
Tiền Giang,Đồng Tháp
Đồng Tháp,Đồng Tháp
Bạc Liêu,Cà Mau
Cà Mau,Cà Mau
An Giang,An Giang
Kiên Giang,An Giang
